B Num,Symbol,EcoCycID,ECK Num
b1000,cbpA,EG12193,ECK0991
b0999,cbpM,EG12194,ECK0990
b0999,yccD,EG12194,ECK0990
b3690,cbrA,EG11714,ECK3682
b3690,yidS,EG11714,ECK3682
b3716,cbrB,EG11726,ECK3709
b3716,yieI,EG11726,ECK3709
b3717,cbrC,EG11727,ECK3710
b3717,yieJ,EG11727,ECK3710
b2005,cbtA,G7085,ECK1998
b2005,yeeV,G7085,ECK1998
b3056,cca,EG10136,ECK3046
b2201,ccmA,EG12059,ECK2193
b2201,yejW,EG12059,ECK2193
b2200,ccmB,EG12058,ECK2192
b2200,yejV,EG12058,ECK2192
b2199,ccmC,EG12057,ECK2191
b2199,yejT,EG12057,ECK2191
b2199,yejU,EG12057,ECK2191
b2198,ccmD,EG12169,ECK2190
b2198,yojM,EG12169,ECK2190
b2197,ccmE,EG12055,ECK2189
b2197,yejS,EG12055,ECK2189
b2196,ccmF,EG12054,ECK2188
b2196,yejR,EG12054,ECK2188
b2195,ccmG,EG12053,ECK2187
b2195,yejQ,EG12053,ECK2187
b2195,dsbE,EG12053,ECK2187
b2194,ccmH,EG12052,ECK2186
b2194,yejP,EG12052,ECK2186
b3518,ccp,EG12244,ECK3503
b3518,yhjA,EG12244,ECK3503
b0162,cdaR,EG12335,ECK0161
b0162,sdaR,EG12335,ECK0161
b0162,yaeG,EG12335,ECK0161
b2143,cdd,EG10137,ECK2136
b1785,cdgI,G6971,ECK1783
b1785,yeaI,G6971,ECK1783
b3918,cdh,EG10138,ECK3910
b0175,cdsA,EG10139,ECK0174
b0175,cds,EG10139,ECK0174
b0796,cecR,EG12406,ECK0785
b0796,ybiH,EG12406,ECK0785
b1731,cedA,G6936,ECK1729
b1731,ydjP,G6936,ECK1729
b1661,cfa,EG11531,ECK1657
b1661,cdfA,EG11531,ECK1657
b1216,chaA,EG11753,ECK1210
b1217,chaB,EG12402,ECK1211
b1218,chaC,EG12403,ECK1212
b1736,chbA,EG10142,ECK1734
b1736,celC,EG10142,ECK1734
b1738,chbB,EG10140,ECK1736
b1738,celA,EG10140,ECK1736
b1737,chbC,EG10141,ECK1735
b1737,celB,EG10141,ECK1735
b1737,hic,EG10141,ECK1735
b1734,chbF,EG10144,ECK1732
b1734,ydjD,EG10144,ECK1732
b1734,celF,EG10144,ECK1732
b1733,chbG,EG12198,ECK1731
b1733,celG,EG12198,ECK1731
b1733,ydjC,EG12198,ECK1731
b1735,chbR,EG10143,ECK1733
b1735,celD,EG10143,ECK1733
b1888,cheA,EG10146,ECK1889
b1883,cheB,EG10147,ECK1884
b1884,cheR,EG10148,ECK1885
b1884,cheX,EG10148,ECK1885
b1887,cheW,EG10149,ECK1888
b1882,cheY,EG10150,ECK1883
b1881,cheZ,EG10151,ECK1882
b3338,chiA,EG11237,ECK3325
